lat,lon,id1,main,description,icon,temp,pressure,humidity,temp_min,temp_max,visibility,speed,deg,clouds,dt,typ,id2,message,country,sunrise,sunset,idn,name
30.723                                            ,76.789                                            ,803                                               ,Clouds                                            ,broken clouds                                     ,04d                                               ,300.15                                            ,1015                                              ,36                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.6                                               ,240                                               ,75                                                ,1552897800                                        ,1                                                 ,9159                                              ,0.0056                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0053                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0053                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0059                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0047                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0047                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,803                                               ,Clouds                                            ,broken clouds                                     ,04d                                               ,300.15                                            ,1015                                              ,36                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.6                                               ,240                                               ,75                                                ,1552897800                                        ,1                                                 ,9159                                              ,0.0056                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
28.353                                            ,76.971                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,300.16                                            ,1015                                              ,30                                                ,299.26                                            ,301.15                                            ,4500                                              ,4.1                                               ,270                                               ,0                                                 ,1552898707                                        ,1                                                 ,9165                                              ,0.0069                                            ,IN                                                ,1552870745                                        ,1552914101                                        ,1267621                                           ,Kāsan                                             
28.345                                            ,76.964                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,300.16                                            ,1015                                              ,30                                                ,299.26                                            ,301.15                                            ,4500                                              ,4.1                                               ,270                                               ,0                                                 ,1552898707                                        ,1                                                 ,9165                                              ,0.0056                                            ,IN                                                ,1552870747                                        ,1552914103                                        ,1267621                                           ,Kāsan                                             
28.328                                            ,76.951                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,300.38                                            ,1015                                              ,30                                                ,299.82                                            ,301.15                                            ,4500                                              ,4.1                                               ,270                                               ,0                                                 ,1552900507                                        ,1                                                 ,9165                                              ,0.0051                                            ,IN                                                ,1552870750                                        ,1552914106                                        ,1267621                                           ,Kāsan                                             
